colombo_tourists,kandy_tourists,galle_tourists,badulla_tourists,gampaha_tourists,matale_tourists,nuwara_eliya_tourists,kalutara_tourists,matara_tourists,anuradhapura_tourists,hambantota_tourists,polonnaruwa_tourists
83727,110794,65870,47357,73269,77985,79579,56147,35399,55031,37671,35834
140266,138961,76452,57300,135612,93458,68091,62106,59923,48464,29865,35777
81586,107296,63607,52070,88574,53302,62192,76288,72413,41721,63044,36568
142485,113487,108722,47451,84482,79416,49443,60105,60664,42866,35210,45864
101651,66409,63371,67481,78196,54244,68388,68228,47363,51152,50812,36402
76834,67142,88458,78553,78127,61327,84580,50625,56880,61704,39553,42618
87962,137124,77805,60470,89749,77322,56017,60084,47234,46493,46681,46184
73600,89040,59915,55969,55281,57179,61912,61182,46357,54036,35343,35972
87199,134296,99499,37272,93038,54579,57167,60764,53449,55069,42653,27582
80800,71531,92904,42067,102511,46967,68023,84588,60098,36852,46476,38969
