colombo_tourists,kandy_tourists,galle_tourists,badulla_tourists,gampaha_tourists,matale_tourists,nuwara_eliya_tourists,kalutara_tourists,matara_tourists,anuradhapura_tourists,hambantota_tourists,polonnaruwa_tourists
73175,57732,77688,40782,71147,63988,42644,40326,58390,39399,29824,38071
92858,38814,45001,40010,59526,33851,36550,41592,29384,26830,27973,32178
73563,81595,53832,46479,70107,42192,38439,48338,45288,34603,27193,20256
91995,72828,36568,47318,80586,45914,46354,56982,46371,32164,44103,30928
92288,62477,44033,39881,49746,53431,47270,49757,33467,45997,36565,20772
97714,46951,104623,35845,75616,39808,47316,55402,39691,38803,38975,31580
52016,60315,51154,36282,78768,51019,37452,43041,63845,43087,29488,19837
59517,64650,48540,37812,58664,47860,42727,40192,42285,32490,30681,29122
54406,57611,56294,65238,83448,40511,43868,52003,42273,35683,37705,24285
83033,78676,44256,27522,57829,63255,33375,38167,41366,39115,30859,22024
