District,Sample,Predicted,Actual,Error,Error_Percent
Colombo,1,82780,84970,2189,2.58
Colombo,2,82780,85769,2988,3.48
Colombo,3,112645,124079,11433,9.21
Colombo,4,111418,108061,-3357,-3.11
Colombo,5,87339,72015,-15324,-21.28
Colombo,6,111352,106754,-4598,-4.31
Colombo,7,127052,136217,9164,6.73
Colombo,8,82780,88827,6046,6.81
Colombo,9,86930,93728,6797,7.25
Colombo,10,94976,95055,78,0.08
Kandy,1,118354,123637,5282,4.27
Kandy,2,109882,101636,-8246,-8.11
Kandy,3,127351,129634,2282,1.76
Kandy,4,80638,74028,-6610,-8.93
Kandy,5,94379,92692,-1687,-1.82
Kandy,6,90196,90961,764,0.84
Kandy,7,112239,127914,15674,12.25
Kandy,8,80638,81949,1310,1.6
Kandy,9,80638,90601,9962,11.0
Kandy,10,101657,113380,11722,10.34
Galle,1,81489,84328,2838,3.37
Galle,2,83596,76052,-7544,-9.92
Galle,3,71662,76467,4804,6.28
Galle,4,84788,89334,4545,5.09
Galle,5,113134,100229,-12905,-12.88
Galle,6,79006,80703,1696,2.1
Galle,7,76308,81413,5104,6.27
Galle,8,74711,67401,-7310,-10.85
Galle,9,62913,69845,6931,9.92
Galle,10,83469,80764,-2705,-3.35
Badulla,1,63684,66995,3310,4.94
Badulla,2,46326,47912,1585,3.31
Badulla,3,44409,48662,4252,8.74
Badulla,4,74449,74923,473,0.63
Badulla,5,72605,61801,-10804,-17.48
Badulla,6,58643,57924,-719,-1.24
Badulla,7,46834,45057,-1777,-3.95
Badulla,8,44409,40402,-4007,-9.92
Badulla,9,61928,63310,1381,2.18
Badulla,10,90616,94034,3417,3.63
Gampaha,1,73041,74309,1267,1.71
Gampaha,2,73041,75182,2140,2.85
Gampaha,3,99739,106001,6261,5.91
Gampaha,4,105425,92911,-12514,-13.47
Gampaha,5,83475,82176,-1299,-1.58
Gampaha,6,73041,83393,10351,12.41
Gampaha,7,94351,99928,5576,5.58
Gampaha,8,73041,64793,-8248,-12.73
Gampaha,9,147036,167399,20362,12.16
Gampaha,10,83881,69542,-14339,-20.62
Matale,1,86576,80467,-6109,-7.59
Matale,2,53563,49942,-3621,-7.25
Matale,3,79937,78222,-1715,-2.19
Matale,4,66362,66341,-21,-0.03
Matale,5,74571,84058,9486,11.29
Matale,6,93280,91381,-1899,-2.08
Matale,7,61014,61370,355,0.58
Matale,8,76410,65571,-10839,-16.53
Matale,9,58873,61628,2754,4.47
Matale,10,92137,89086,-3051,-3.43
Nuwara_Eliya,1,57228,60464,3235,5.35
Nuwara_Eliya,2,50642,48774,-1868,-3.83
Nuwara_Eliya,3,63168,63959,790,1.24
Nuwara_Eliya,4,67671,63196,-4475,-7.08
Nuwara_Eliya,5,74662,73213,-1449,-1.98
Nuwara_Eliya,6,50642,46714,-3928,-8.41
Nuwara_Eliya,7,70563,62422,-8141,-13.04
Nuwara_Eliya,8,52091,47624,-4467,-9.38
Nuwara_Eliya,9,94984,106771,11786,11.04
Nuwara_Eliya,10,69746,72066,2319,3.22
Kalutara,1,79054,82571,3516,4.26
Kalutara,2,48694,56906,8211,14.43
Kalutara,3,70983,63973,-7010,-10.96
Kalutara,4,66161,63885,-2276,-3.56
Kalutara,5,57167,53011,-4156,-7.84
Kalutara,6,48694,51026,2331,4.57
Kalutara,7,89647,99664,10016,10.05
Kalutara,8,48791,45605,-3186,-6.99
Kalutara,9,59851,68402,8550,12.5
Kalutara,10,82389,84428,2038,2.41
Matara,1,46746,51299,4552,8.87
Matara,2,74447,73696,-751,-1.02
Matara,3,72681,64916,-7765,-11.96
Matara,4,63586,62107,-1479,-2.38
Matara,5,51795,59696,7900,13.23
Matara,6,79058,70478,-8580,-12.18
Matara,7,46746,40107,-6639,-16.55
Matara,8,64447,67773,3325,4.91
Matara,9,66180,74483,8302,11.15
Matara,10,69697,74318,4620,6.22
Anuradhapura,1,48587,48514,-73,-0.15
Anuradhapura,2,44411,47026,2614,5.56
Anuradhapura,3,49017,46078,-2939,-6.38
Anuradhapura,4,60193,61458,1264,2.06
Anuradhapura,5,55365,55802,436,0.78
Anuradhapura,6,46412,46917,504,1.08
Anuradhapura,7,65791,66925,1133,1.69
Anuradhapura,8,49131,51821,2689,5.19
Anuradhapura,9,49562,48454,-1108,-2.29
Anuradhapura,10,40903,45336,4432,9.78
Hambantota,1,35709,37914,2204,5.81
Hambantota,2,60351,60517,165,0.27
Hambantota,3,50017,59022,9004,15.26
Hambantota,4,35547,39424,3876,9.83
Hambantota,5,54293,52382,-1911,-3.65
Hambantota,6,43610,41892,-1718,-4.1
Hambantota,7,49235,53488,4252,7.95
Hambantota,8,34086,36315,2228,6.14
Hambantota,9,37925,37467,-458,-1.22
Hambantota,10,35543,38095,2551,6.7
Polonnaruwa,1,35979,39341,3361,8.54
Polonnaruwa,2,29216,32987,3770,11.43
Polonnaruwa,3,29216,27738,-1478,-5.33
Polonnaruwa,4,29216,32130,2913,9.07
Polonnaruwa,5,30267,30725,457,1.49
Polonnaruwa,6,42784,43032,247,0.58
Polonnaruwa,7,42864,40080,-2784,-6.95
Polonnaruwa,8,38294,33126,-5168,-15.6
Polonnaruwa,9,33798,33843,44,0.13
Polonnaruwa,10,34826,31349,-3477,-11.09
